what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.200.v20110815-1419,"org.eclipse.equinox.p2.updatechecker",1458772557169
started,bundle,org.eclipse.equinox.preferences,3.4.2.v20120111-2020,"org.eclipse.equinox.preferences",1458772557169
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1458772557169
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1458772557170
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1458772557170
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1458772557170
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1458772557171
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1458772557171
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1458772557171
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1458772557172
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1458772557172
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1458772557172
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1458772557173
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1458772557173
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1458772557173
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1458772557173
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1458772557174
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1458772557174
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1458772557174
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1458772557175
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1458772557175
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1458772557175
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1458772557176
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1458772557176
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1458772557176
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1458772557177
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1458772557177
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1458772557178
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1458772557178
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1458772557178
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1458772557179
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1458772557179
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1458772557180
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1458772557180
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1458772557180
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1458772557181
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1458772557181
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1458772557182
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1458772557182
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1458772557182
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1458772557183
started,bundle,com.altera.sbtgui.core,12.1.1.243,"com.altera.sbtgui.core",1458772557183
started,bundle,com.altera.sbtgui.integration,12.1.1.243,"com.altera.sbtgui.integration",1458772557183
started,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1458772557183
started,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1458772557184
started,bundle,com.altera.systemconsole,12.1.1.243,"com.altera.systemconsole",1458772557184
started,bundle,com.altera.systemconsole.designs.plugin,12.1.1.243,"com.altera.systemconsole.designs.plugin",1458772557184
started,bundle,com.altera.systemconsole.scripting,12.1.1.243,"com.altera.systemconsole.scripting",1458772557184
started,bundle,com.altera.utilities,12.1.1.243,"com.altera.utilities",1458772557184
os,sysinfo,,,"linux",1458772557186
arch,sysinfo,,,"x86",1458772557186
ws,sysinfo,,,"gtk",1458772557186
locale,sysinfo,,,"en_US",1458772557186
processors,sysinfo,,,"8",1458772557186
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1458772557186
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1458772557186
java.specification.name,sysinfo,,,"Java Platform API Specification",1458772557186
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1458772557186
java.specification.version,sysinfo,,,"1.6",1458772557186
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1458772557186
java.version,sysinfo,,,"1.6.0_23",1458772557186
java.vm.info,sysinfo,,,"mixed mode",1458772557186
java.vm.name,sysinfo,,,"Java HotSpot(TM) Server VM",1458772557186
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1458772557186
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1458772557186
java.vm.specification.version,sysinfo,,,"1.0",1458772557186
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1458772557186
java.vm.version,sysinfo,,,"19.0-b09",1458772557186
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1458772558598
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1458772570875
started,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1458772572138
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1458772640839
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1458772642694
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458772646582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458772646937
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458772527277
activated,editor,org.eclipse.cdt.ui,5.3.2.201202111925,"org.eclipse.cdt.ui.editor.CEditor",1458772537738
closed,view,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui.DebugView",1458772537742
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458772543869
started,bundle,org.eclipse.cdt.mylyn.ui,3.6.0.v20110608-1400,"org.eclipse.cdt.mylyn.ui",1458772545749
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1458772545831
stopped,bundle,org.eclipse.cdt.build.crossgcc,1.0.2.201202111925,"org.eclipse.cdt.build.crossgcc",1458772546161
stopped,bundle,org.eclipse.cdt.codan.checkers.ui,1.0.0.201202111925,"org.eclipse.cdt.codan.checkers.ui",1458772546162
stopped,bundle,com.altera.debug.cdi.gdb.plugin,12.1.1.243,"com.altera.debug.cdi.gdb.plugin",1458772546163
stopped,bundle,com.altera.sbtgui.launch,12.1.1.243,"com.altera.sbtgui.launch",1458772650139
stopped,bundle,com.altera.sbtgui.ui,12.1.1.243,"com.altera.sbtgui.ui",1458772650160
stopped,bundle,com.altera.sbtgui.project,12.1.1.243,"com.altera.sbtgui.project",1458772650160
stopped,bundle,org.eclipse.cdt.codan.checkers,1.0.1.201202111925,"org.eclipse.cdt.codan.checkers",1458772650160
stopped,bundle,org.eclipse.cdt.codan.ui.cxx,2.0.0.201202111925,"org.eclipse.cdt.codan.ui.cxx",1458772650160
stopped,bundle,org.eclipse.cdt.codan.core.cxx,1.0.0.201202111925,"org.eclipse.cdt.codan.core.cxx",1458772650160
